Gene Name	Mutation Count	Associated Phenotypes
B3500	12	sodium chloride:Sensitive;ionic liquids:Resistant;azithromycin:Sensitive;cerulenin:Sensitive;theophylline:Sensitive;nitrofurantoin:Sensitive;chir-090:Resistant;trimethoprim:Sensitive;heat:Resistant;cccp:Sensitive;doxycycline:Resistant;cefaclor:Resistant;methylglyoxal:Sensitive;acid:Resistant;fusidic acid:Resistant;norepinephrine:Sensitive;spectinomycin:Resistant;growth:Resistant;oxacillin:Sensitive;a22:Resistant;ethanol:Sensitive;sodium chloride:Resistant;erythromycin:Resistant;fucose:Sensitive;nalidixic acid:Resistant;propidium iodide:Sensitive;benzalkonium chloride:Sensitive;pyocyanin:Sensitive;trimethoprim:Resistant;metronidazole:Sensitive;thiolactomycin:Sensitive;nickel:Sensitive;bleomycin:Resistant;l-valine:Sensitive;bile:Sensitive
YAFU'	1	edta:Resistant;bleomycin:Sensitive;copper:Sensitive;paraquat:Sensitive
B2715	4	doxycycline:Sensitive;tobramycin:Resistant;nitrofurantoin:Sensitive;triclosan:Resistant;chloramphenicol:Sensitive;cobalt:Resistant;nalidixic acid:Resistant;methylglyoxal:Sensitive;l-valine:Sensitive;tetracycline:Sensitive
B2714	2	doxycycline:Sensitive;tobramycin:Resistant;cerulenin:Sensitive;methotrexate:Resistant;tunicamycin:Sensitive;ethanol:Sensitive;nitrofurantoin:Sensitive;sulfamethoxazole:Resistant;sodium chloride:Sensitive;cholate:Sensitive;chloramphenicol:Sensitive;paraquat:Resistant;nalidixic acid:Resistant;propidium iodide:Resistant;tetracycline:Sensitive;spiramycin:Resistant;trimethoprim:Resistant
B2717	2	doxycycline:Sensitive;tobramycin:Resistant;glucose:Resistant;novobiocin:Sensitive;nitrofurantoin:Sensitive;sodium chloride:Sensitive;chloramphenicol:Sensitive;uv radiation:Resistant;nalidixic acid:Resistant;triton x:Sensitive;tetracycline:Sensitive;nitrofurantoin:Resistant
B2716	2	doxycycline:Sensitive;tobramycin:Resistant;nitrofurantoin:Sensitive;chloramphenicol:Sensitive;nalidixic acid:Resistant;methylglyoxal:Sensitive;l-valine:Sensitive;tetracycline:Sensitive
B2711	3	tetracycline:Resistant;clarythromycin:Resistant;nitrofurantoin:Sensitive;peroxide:Resistant;egcg:Resistant;procaine:Resistant;doxorubicin:Resistant;norfloxacin:Sensitive;pms:Sensitive;azithromycin:Resistant;ammonia chloride:Resistant;ciprofloxacin:Sensitive;polymixin b:Resistant;growth:Resistant;amoxicillin:Resistant;erythromycin:Resistant;chloramphenicol:Sensitive;nalidixic acid:Resistant;etda:Sensitive;doxycycline:Sensitive;tobramycin:Resistant;tetracycline:Sensitive;verapamil:Resistant;edta:Sensitive;sds:Sensitive;nigericin:Resistant;rifampicin:Resistant;chir-090:Sensitive
B2710	3	doxycycline:Sensitive;tobramycin:Resistant;nitrofurantoin:Sensitive;chloramphenicol:Sensitive;nalidixic acid:Resistant;methylglyoxal:Sensitive;l-valine:Sensitive;growth:Resistant;tetracycline:Sensitive
B2713	4	doxycycline:Sensitive;tobramycin:Resistant;amoxicillin:Sensitive;nitrofurantoin:Sensitive;peroxide:Resistant;sodium chloride:Sensitive;fucose:Sensitive;chloramphenicol:Sensitive;nalidixic acid:Resistant;l-valine:Sensitive;glufosfomycin:Sensitive;tetracycline:Sensitive;n-acetylglucosamine:Sensitive
B2712	7	growth:Resistant;doxycycline:Sensitive;tobramycin:Resistant;nitrofurantoin:Sensitive;ethanol:Resistant;chloramphenicol:Sensitive;ionizing radiation:Resistant;tetracycline:Sensitive;nalidixic acid:Resistant
B2719	2	doxycycline:Sensitive;tobramycin:Resistant;tunicamycin:Sensitive;spiramycin:Sensitive;nitrofurantoin:Sensitive;chloramphenicol:Sensitive;cobalt:Resistant;nalidixic acid:Resistant;oxacillin:Sensitive;triton x:Sensitive;cccp:Sensitive;theophylline:Resistant;tetracycline:Sensitive;procaine:Resistant
B2718	4	doxycycline:Sensitive;tobramycin:Resistant;gentamicin:Sensitive;glucose:Resistant;maltose:Sensitive;novobiocin:Sensitive;nitrofurantoin:Sensitive;sodium chloride:Sensitive;chloramphenicol:Sensitive;nalidixic acid:Resistant;methylglyoxal:Sensitive;triton x:Sensitive;bacitracin:Sensitive;growth:Resistant;tetracycline:Sensitive
ECW_M3321	3	sodium chloride:Resistant
ECW_M3499	4	sodium chloride:Sensitive
B3481	5	acriflavine:Resistant;taurocholate:Sensitive;triclosan:Resistant;trimethoprim:Sensitive;mecillinam:Sensitive;bile:Resistant;doxycycline:Resistant;azetreonam:Sensitive;fusidic acid:Resistant;growth:Resistant;amoxicillin:Resistant;tunicamycin:Resistant;spiramycin:Sensitive;erythromycin:Resistant;benzalkonium chloride:Resistant;aspartate utilization:Resistant;taurocholate:Resistant;doxycycline:Sensitive;cholate:Resistant;cold:Sensitive;sulfamethoxazole:Sensitive;tetracycline:Sensitive
ECW_M4314	6	sodium chloride:Resistant
ECW_M4315	4	sodium chloride:Resistant
ECW_M4318	7	sodium chloride:Resistant
B2908	3	growth:Resistant;tobramycin:Resistant;cefoxitin:Resistant;clarythromycin:Resistant;gentamicin:Resistant;theophylline:Sensitive;pms:Sensitive;fusidic acid:Sensitive;alanine utilization:Resistant;cecropin b:Sensitive;streptomycin:Resistant;mecillinam:Resistant;amikacin:Resistant;pyocyanin:Sensitive;actinomycin d:Resistant
B2909	3	growth:Resistant;egta:Sensitive;fucose:Sensitive;l-valine:Sensitive;methylglyoxal:Sensitive;sds:Sensitive;asparagine utilization:Resistant
B2679	7	growth:Resistant;tobramycin:Resistant;nalidixic acid:Resistant;lactate:Sensitive;nitrofurantoin:Sensitive;sodium chloride:Resistant;doxycycline:Sensitive;alanine utilization:Resistant;chloramphenicol:Sensitive;potassium ion:Resistant;malate:Sensitive;ionizing radiation:Resistant;norfloxacin:Resistant;propidium iodide:Sensitive;cetylpyridinium chloride:Sensitive;tetracycline:Sensitive;cobalt:Sensitive
B2676	5	doxycycline:Sensitive;tobramycin:Resistant;chloramphenicol:Sensitive;nitrofurantoin:Sensitive;sodium chloride:Resistant;fucose:Sensitive;crotonate:Resistant;potassium ion:Resistant;nalidixic acid:Resistant;methylglyoxal:Sensitive;l-valine:Sensitive;heat:Resistant;cholate:Sensitive;tetracycline:Sensitive
B2901	5	alanine utilization:Resistant;growth:Resistant;norfloxacin:Sensitive;procaine:Sensitive
B2674	3	growth:Resistant;glycine utilization:Resistant;tobramycin:Resistant;nitrofurantoin:Sensitive;doxycycline:Sensitive;fucose:Sensitive;chloramphenicol:Sensitive;nalidixic acid:Resistant;methylglyoxal:Sensitive;l-valine:Sensitive;tetracycline:Sensitive
B2903	10	glucose:Resistant;glucosamine:Resistant;a22:Sensitive;cobalt:Sensitive;decanoic acid:Sensitive;sulfamethoxazole:Sensitive;glycerol:Resistant;succinate:Resistant;methylglyoxal:Sensitive;cecropin b:Sensitive;sulfamonomethoxine:Sensitive;ammonia chloride:Resistant;mops:Sensitive;growth:Resistant;spectinomycin:Sensitive;cefoxitin:Resistant;methacrylate:Resistant;cobalt:Resistant;furfural:Resistant;methacrylate:Sensitive;acetate:Resistant;alanine utilization:Resistant;verapamil:Resistant;n-acetylglucosamine:Resistant;sds:Resistant;bile:Sensitive;maltose:Resistant
B2904	5	growth:Resistant;cefoxitin:Resistant;ethidium bromide:Sensitive;methylglyoxal:Sensitive;methacrylate:Resistant;methotrexate:Sensitive;sulfamethoxazole:Sensitive;doxycycline:Resistant;egta:Sensitive;glycerol:Resistant;decanoic acid:Sensitive;alanine utilization:Resistant;phleomycin:Resistant;nigericin:Sensitive;n-acetylglucosamine:Resistant;furfural:Resistant;sulfamonomethoxine:Sensitive;sds:Resistant;acetate:Resistant;d-cycloserine:Sensitive;puromycin:Sensitive
B2905	8	growth:Resistant;cefoxitin:Resistant;decanoic acid:Sensitive;sulfamethoxazole:Sensitive;glycerol:Resistant;acetate:Resistant;alanine utilization:Resistant;furfural:Resistant;cecropin b:Sensitive;norfloxacin:Sensitive;egcg:Resistant;sulfamonomethoxine:Sensitive;isoniazid:Sensitive;piperacillin:Resistant
B2906	5	gentamicin:Resistant;theophylline:Sensitive;streptomycin:Resistant;cefsulodin:Sensitive;mecillinam:Sensitive;butanediol:Resistant;streptonigrin:Sensitive;cisplatin:Sensitive;fosfomycin:Sensitive;alkaline:Sensitive;pms:Sensitive;amikacin:Resistant;growth:Resistant;tunicamycin:Sensitive;heat:Sensitive;erythromycin:Resistant;benzalkonium chloride:Sensitive;pyocyanin:Sensitive;tobramycin:Resistant;deoxycholate:Sensitive;thiolactomycin:Sensitive;alanine utilization:Resistant;ethanol:Resistant
B2907	6	tetracycline:Resistant;clarythromycin:Resistant;nitrofurantoin:Sensitive;peroxide:Resistant;methyl methanesulfonate:Sensitive;propidium iodide:Resistant;trimethoprim:Sensitive;heat:Resistant;ceftazidime:Resistant;doxycycline:Resistant;cefsulodin:Resistant;acid:Resistant;cecropin b:Resistant;radicicol:Resistant;polymixin b:Resistant;growth:Resistant;cefoxitin:Resistant;d-cycloserine:Resistant;sodium chloride:Resistant;azetreonam:Resistant;erythromycin:Resistant;chloramphenicol:Sensitive;uv radiation:Resistant;cobalt:Resistant;taurocholate:Resistant;trimethoprim:Resistant;verapamil:Resistant;rifampicin:Resistant;tetracycline:Sensitive;sulfamethoxazole:Resistant
ECW_M3148	3	sodium chloride:Sensitive
YKIA'	1	theophylline:Sensitive;indolicidin:Sensitive;heat:Sensitive;actinomycin d:Sensitive;minocycline:Resistant;a22:Sensitive;trimethoprim:Resistant
ECB_00848	2	growth:Resistant
ECB_00849	1	growth:Resistant
ECB_00842	1	growth:Resistant
ECB_00843	1	growth:Resistant
ECB_T00009	1	growth:Resistant
ECB_00841	1	growth:Resistant
ECB_00846	2	growth:Resistant
ECB_00847	3	growth:Resistant
ECB_00844	1	growth:Resistant
ECB_00845	1	growth:Resistant
ECB	1	heat:Resistant
ECB_01463	2	growth:Resistant
ECB_01462	6	growth:Resistant
ECB_01461	5	growth:Resistant
ECB_01460	4	growth:Resistant
ECB_01927	6	growth:Resistant
ECB_01469	12	growth:Resistant
ECB_01468	6	growth:Resistant
ECB_01924	11	growth:Resistant
ECB_02166	12	heat:Resistant
ECB_01925	10	growth:Resistant
ECB_02162	4	heat:Resistant
ECB_01690	1	growth:Resistant
ECB_01923	8	growth:Resistant
ECB_01920	5	growth:Resistant
ECB_01693	2	growth:Resistant
B0418	5	sodium chloride:Sensitive;tetracycline:Resistant;succinate:Sensitive;sulfamonomethoxine:Resistant;trimethoprim:Sensitive;cefsulodin:Sensitive;mecillinam:Sensitive;ethidium bromide:Sensitive;n-acetylglucosamine:Sensitive;acriflavine:Sensitive;nalidixic acid:Sensitive;doxycycline:Resistant;glucose:Sensitive;mops:Sensitive;azidothymidine:Sensitive;ethanol:Sensitive;sodium chloride:Resistant;fucose:Sensitive;chloramphenicol:Sensitive;benzalkonium chloride:Sensitive;doxycycline:Sensitive;deoxycholate:Sensitive;ciprofloxacin:Resistant;maltose:Sensitive;nickel:Sensitive;bleomycin:Resistant;minocycline:Resistant;l-valine:Sensitive;glycerol:Sensitive;iron:Sensitive;sulfamethoxazole:Resistant
B0419	3	doxycycline:Sensitive;tetracycline:Resistant;chloramphenicol:Sensitive;trimethoprim:Sensitive;methylglyoxal:Sensitive;l-valine:Sensitive;bacimethrin:Resistant
B0414	6	doxycycline:Sensitive;tobramycin:Resistant;tetracycline:Resistant;nalidixic acid:Sensitive;chloramphenicol:Sensitive;lomefloxacin:Sensitive;sodium bicarbonate:Resistant;trimethoprim:Sensitive;sulfamonomethoxine:Sensitive;amikacin:Resistant;tetracycline:Sensitive;ciprofloxacin:Sensitive;trimethoprim:Resistant
B0416	5	doxycycline:Sensitive;tetracycline:Resistant;ampicillin:Sensitive;chloramphenicol:Sensitive;cefoxitin:Sensitive;sulfamethoxazole:Sensitive;nitrofurantoin:Sensitive;tetracycline:Sensitive;luria-bertani broth:Sensitive;azetreonam:Sensitive;trimethoprim:Sensitive;l-valine:Sensitive;erythromycin:Sensitive;acetate:Resistant
B0417	5	doxycycline:Sensitive;tetracycline:Resistant;methacrylate:Resistant;methylglyoxal:Resistant;chloramphenicol:Sensitive;fucose:Sensitive;l-valine:Sensitive;trimethoprim:Sensitive;cobalt:Resistant;streptomycin:Resistant;sodium bicarbonate:Resistant
B0410	5	doxycycline:Sensitive;growth:Resistant;tetracycline:Resistant;iron:Sensitive;bromoacetate:Sensitive;heat:Sensitive;chloramphenicol:Sensitive;trimethoprim:Sensitive;heat:Resistant
B0411	4	tetracycline:Resistant;azithromycin:Sensitive;sulfamonomethoxine:Resistant;trimethoprim:Sensitive;heat:Resistant;kanamycin:Sensitive;doxycycline:Resistant;cefaclor:Resistant;norfloxacin:Sensitive;streptomycin:Sensitive;nitrofurantoin:Resistant;oxacillin:Sensitive;lomefloxacin:Resistant;sulfamonomethoxine:Sensitive;fusidic acid:Resistant;amikacin:Resistant;spectinomycin:Resistant;ciprofloxacin:Sensitive;cefoxitin:Resistant;tobramycin:Sensitive;spiramycin:Sensitive;erythromycin:Resistant;ampicillin:Resistant;chloramphenicol:Sensitive;nalidixic acid:Resistant;chloramphenicol:Resistant;benzalkonium chloride:Resistant;clarythromycin:Sensitive;trimethoprim:Resistant;doxycycline:Sensitive;rifampicin:Resistant;ciprofloxacin:Resistant;actinomycin d:Sensitive;l-valine:Sensitive;clindamycin:Resistant;piperacillin:Resistant;sulfamethoxazole:Resistant
B0412	5	glycine utilization:Resistant;tetracycline:Resistant;sulfamonomethoxine:Resistant;trimethoprim:Sensitive;iron:Resistant;ethidium bromide:Sensitive;a22:Sensitive;kanamycin:Sensitive;doxycycline:Resistant;streptomycin:Sensitive;nitrofurantoin:Resistant;lomefloxacin:Resistant;fusidic acid:Resistant;amikacin:Resistant;spectinomycin:Resistant;growth:Resistant;cefoxitin:Resistant;tobramycin:Sensitive;spiramycin:Sensitive;sodium chloride:Resistant;erythromycin:Resistant;ampicillin:Resistant;chloramphenicol:Sensitive;nalidixic acid:Resistant;chloramphenicol:Resistant;taurocholate:Resistant;trimethoprim:Resistant;doxycycline:Sensitive;ciprofloxacin:Resistant;carbenicillin:Resistant;ethanol:Resistant;edta:Sensitive;clindamycin:Resistant;piperacillin:Resistant;sulfamethoxazole:Resistant
B0413	5	doxycycline:Sensitive;tobramycin:Resistant;tetracycline:Resistant;acriflavine:Resistant;etda:Resistant;gentamicin:Resistant;sds:Resistant;sodium chloride:Resistant;cholate:Sensitive;chloramphenicol:Sensitive;growth:Resistant;trimethoprim:Sensitive;actinomycin d:Sensitive;streptomycin:Resistant;heat:Resistant;azidothymidine:Resistant;amikacin:Resistant
ECW_M0146	9	sodium chloride:Sensitive
ECW_M1238	13	sodium chloride:Sensitive
ECW_M1232	9	furfural:Resistant
ECW_M1233	8	furfural:Resistant
ECW_M1231	13	furfural:Resistant
ECW_M1237	14	sodium chloride:Sensitive
ECW_M1234	13	furfural:Resistant
B0731	5	growth:Resistant;levulinic acid:Sensitive;acetate:Sensitive;n-butanol:Sensitive;decanoic acid:Sensitive;furfural:Sensitive;trimethoprim:Sensitive;itaconate:Sensitive;butanediol:Sensitive;butyrolactone:Sensitive;mecillinam:Sensitive;ionizing radiation:Resistant
B0730	6	growth:Resistant;glycine utilization:Resistant;pyocyanin:Resistant;gentamicin:Sensitive;tobramycin:Sensitive;deoxycholate:Resistant;spiramycin:Sensitive;nitrofurantoin:Sensitive;egta:Sensitive;mecillinam:Resistant;uv radiation:Sensitive;cefsulodin:Resistant;oxacillin:Sensitive;asparagine utilization:Resistant;heat:Resistant;cccp:Sensitive
B0733	8	glycine utilization:Resistant;piperacillin:Sensitive;gentamicin:Resistant;nitrofurantoin:Sensitive;streptomycin:Resistant;fusidic acid:Sensitive;luria-bertani broth:Sensitive;trimethoprim:Sensitive;erythromycin:Sensitive;asparagine utilization:Resistant;heat:Resistant;kanamycin:Resistant;ampicillin:Sensitive;sulfamethoxazole:Sensitive;nalidixic acid:Sensitive;sulfamonomethoxine:Sensitive;amikacin:Resistant;spectinomycin:Resistant;ciprofloxacin:Sensitive;mops:Sensitive;growth:Resistant;cefoxitin:Resistant;spiramycin:Sensitive;chloramphenicol:Sensitive;lomefloxacin:Sensitive;doxycycline:Sensitive;tobramycin:Resistant;alanine utilization:Resistant;l-valine:Sensitive;clindamycin:Resistant;tetracycline:Sensitive
B0732	4	growth:Resistant;l-valine:Sensitive;dibucaine:Sensitive;fucose:Sensitive
B0735	4	growth:Resistant;sodium chloride:Resistant;fosfomycin:Sensitive;pms:Sensitive
B0734	8	sodium chloride:Sensitive;glycine utilization:Resistant;n-butanol:Sensitive;isobutanol:Resistant;vancomycin:Sensitive;nitrofurantoin:Sensitive;cefsulodin:Sensitive;paraquat:Resistant;anaerobic:Sensitive;butanediol:Sensitive;streptomycin:Resistant;norepinephrine:Resistant;mecillinam:Sensitive;chloropromazine:Sensitive;clarythromycin:Resistant;ampicillin:Sensitive;alkaline:Sensitive;theophylline:Sensitive;acid:Resistant;azithromycin:Resistant;amikacin:Resistant;growth:Resistant;bacitracin:Sensitive;cefoxitin:Sensitive;furfural:Sensitive;calcofluor:Sensitive;pyocyanin:Sensitive;levulinic acid:Sensitive;triclosan:Sensitive;chloramphenicol:Sensitive;egta:Sensitive;alanine utilization:Resistant;edta:Sensitive;isoniazid:Sensitive;bile:Sensitive;dibucaine:Sensitive
B0737	7	tetracycline:Resistant;cerulenin:Resistant;azithromycin:Sensitive;vancomycin:Sensitive;alkaline:Resistant;ceftazidime:Sensitive;propidium iodide:Resistant;cholate:Sensitive;cefsulodin:Sensitive;minocycline:Sensitive;trimethoprim:Sensitive;dibucaine:Sensitive;asparagine utilization:Resistant;mecillinam:Sensitive;d-cycloserine:Sensitive;clarythromycin:Resistant;ampicillin:Sensitive;amoxicillin:Sensitive;chir-090:Resistant;oxacillin:Sensitive;taurocholate:Sensitive;triton x:Sensitive;pms:Resistant;polymixin b:Resistant;growth:Resistant;novobiocin:Resistant;cefoxitin:Resistant;methylglyoxal:Sensitive;bacitracin:Sensitive;cefoxitin:Sensitive;sodium chloride:Resistant;copper:Sensitive;heat:Sensitive;fucose:Sensitive;carbenicillin:Sensitive;acid:Sensitive;etda:Sensitive;clarythromycin:Sensitive;trimethoprim:Resistant;doxycycline:Sensitive;tobramycin:Resistant;deoxycholate:Sensitive;triclosan:Sensitive;actinomycin d:Sensitive;egta:Sensitive;verapamil:Resistant;bile:Sensitive;sds:Sensitive;l-valine:Sensitive;cefaclor:Sensitive;epinephrine:Resistant;sulfamethoxazole:Resistant
B0736	9	furfural:Resistant;vancomycin:Sensitive;nitrofurantoin:Sensitive;peroxide:Resistant;ceftazidime:Sensitive;cholate:Sensitive;asparagine utilization:Resistant;dibucaine:Sensitive;cefsulodin:Sensitive;mecillinam:Sensitive;ampicillin:Sensitive;amoxicillin:Sensitive;chir-090:Resistant;oxacillin:Sensitive;taurocholate:Sensitive;triton x:Sensitive;alkaline:Resistant;ciprofloxacin:Sensitive;polymixin b:Resistant;growth:Resistant;methylglyoxal:Sensitive;bacitracin:Sensitive;cefoxitin:Sensitive;sodium chloride:Resistant;copper:Sensitive;erythromycin:Resistant;fucose:Sensitive;rifampicin:Sensitive;carbenicillin:Sensitive;etda:Sensitive;deoxycholate:Sensitive;triclosan:Sensitive;metronidazole:Sensitive;actinomycin d:Sensitive;sds:Sensitive;l-valine:Sensitive;cefaclor:Sensitive;bile:Sensitive
B0739	4	alanine utilization:Resistant;glycine utilization:Resistant;gamma rays:Sensitive;growth:Resistant
B0738	8	glycine utilization:Resistant;clarythromycin:Resistant;vancomycin:Sensitive;alkaline:Resistant;ceftazidime:Sensitive;cholate:Sensitive;fusidic acid:Sensitive;asparagine utilization:Resistant;minocycline:Sensitive;trimethoprim:Sensitive;dibucaine:Sensitive;cefsulodin:Sensitive;mecillinam:Sensitive;azithromycin:Sensitive;ampicillin:Sensitive;amoxicillin:Sensitive;sulfamethoxazole:Sensitive;oxacillin:Sensitive;triton x:Sensitive;growth:Resistant;bacitracin:Sensitive;copper:Sensitive;heat:Sensitive;rifampicin:Sensitive;carbenicillin:Sensitive;acid:Sensitive;etda:Sensitive;clarythromycin:Sensitive;deoxycholate:Sensitive;triclosan:Sensitive;actinomycin d:Sensitive;alanine utilization:Resistant;sds:Sensitive;cefaclor:Sensitive;bile:Sensitive
B3299	8	growth:Resistant;ampicillin:Sensitive;vancomycin:Sensitive;nitrofurantoin:Sensitive;fucose:Sensitive;rifampicin:Sensitive;chloramphenicol:Sensitive;methylglyoxal:Sensitive;l-valine:Sensitive;bicyclomycin:Sensitive
B3298	5	growth:Resistant;sodium bicarbonate:Resistant;fucose:Sensitive;cobalt:Resistant;methylglyoxal:Sensitive;malate:Sensitive;malate:Resistant
B3297	3	growth:Resistant;l-valine:Sensitive;methylglyoxal:Sensitive;fucose:Sensitive
B3296	7	growth:Resistant;lactate:Resistant;fucose:Sensitive;cold:Resistant;ethanol:Resistant;heat:Resistant;cetylpyridinium chloride:Sensitive
B3295	42	tetracycline:Resistant;sulfamonomethoxine:Resistant;trimethoprim:Sensitive;heat:Resistant;cetylpyridinium chloride:Sensitive;kanamycin:Sensitive;doxycycline:Resistant;lactate:Resistant;streptomycin:Sensitive;nitrofurantoin:Resistant;lomefloxacin:Resistant;n-butanol:Resistant;fusidic acid:Resistant;amikacin:Resistant;acetate:Resistant;mops:Sensitive;growth:Resistant;cefoxitin:Resistant;tobramycin:Sensitive;spiramycin:Sensitive;erythromycin:Resistant;ampicillin:Resistant;chloramphenicol:Sensitive;nalidixic acid:Resistant;chloramphenicol:Resistant;fucose:Sensitive;benzoate:Resistant;trimethoprim:Resistant;ciprofloxacin:Resistant;spectinomycin:Resistant;ethanol:Resistant;clindamycin:Resistant;piperacillin:Resistant;sulfamethoxazole:Resistant
B3294	2	l-valine:Sensitive;growth:Resistant;methylglyoxal:Sensitive;fucose:Sensitive
B3293	4	growth:Resistant;indolicidin:Resistant;copper:Sensitive;fucose:Sensitive;cccp:Resistant;norfloxacin:Sensitive;acid:Sensitive;ionizing radiation:Resistant;methylglyoxal:Sensitive;l-valine:Sensitive
B3292	3	growth:Resistant;glufosfomycin:Sensitive;ampicillin:Sensitive;theophylline:Sensitive;ethanol:Sensitive;fosfomycin:Sensitive;erythromycin:Resistant;mecillinam:Resistant;heat:Sensitive;edta:Sensitive;taurocholate:Sensitive;aspartate utilization:Resistant
B3291	1	growth:Resistant
B3290	3	growth:Resistant;tetracycline:Resistant;tobramycin:Sensitive;ethanol:Sensitive;doxycycline:Resistant;spectinomycin:Sensitive;streptomycin:Sensitive;nalidixic acid:Resistant;piperacillin:Resistant;acid:Sensitive
ECB_03692	18	heat:Resistant
B0089	6	growth:Resistant;fucose:Sensitive;ionizing radiation:Resistant;methylglyoxal:Sensitive;l-valine:Sensitive;heat:Resistant
B0088	4	ethanol:Sensitive;ethanol:Resistant;butyrolactone:Resistant
B0087	3	furfural:Sensitive;acetate:Sensitive;heat:Resistant;ethanol:Resistant;butanediol:Sensitive
B0086	7	growth:Resistant;ethanol:Sensitive;ethanol:Resistant
B0085	5	growth:Resistant;heat:Resistant;ethanol:Sensitive;ethanol:Resistant
B0084	17	tetracycline:Resistant;doxycycline:Resistant;nitrofurantoin:Sensitive;fusidic acid:Sensitive;sulfamonomethoxine:Resistant;ceftriaxone:Resistant;potassium ion:Resistant;trimethoprim:Sensitive;erythromycin:Sensitive;cetylpyridinium chloride:Sensitive;spiramycin:Resistant;cobalt:Sensitive;kanamycin:Resistant;kanamycin:Sensitive;sulfamethoxazole:Sensitive;nalidixic acid:Sensitive;lactate:Sensitive;methylglyoxal:Resistant;streptomycin:Sensitive;methylglyoxal:Sensitive;amikacin:Sensitive;lomefloxacin:Resistant;amikacin:Resistant;spectinomycin:Resistant;growth:Resistant;spectinomycin:Sensitive;cefoxitin:Resistant;tobramycin:Sensitive;tobramycin:Resistant;spiramycin:Sensitive;sodium chloride:Resistant;erythromycin:Resistant;ampicillin:Resistant;lomefloxacin:Sensitive;malate:Sensitive;nalidixic acid:Resistant;chloramphenicol:Resistant;doxycycline:Sensitive;methacrylate:Sensitive;ciprofloxacin:Resistant;piperacillin:Resistant;cetylpyridinium chloride:Resistant;ethanol:Resistant;cobalt:Resistant;clindamycin:Resistant;tetracycline:Sensitive
B0083	4	zinc:Sensitive;triclosan:Resistant;ethanol:Resistant;mops:Sensitive
B0082	5	azithromycin:Sensitive;nitrofurantoin:Sensitive;propidium iodide:Resistant;fusidic acid:Sensitive;luria-bertani broth:Sensitive;minocycline:Sensitive;trimethoprim:Sensitive;maltose:Resistant;erythromycin:Sensitive;ethidium bromide:Sensitive;ceftazidime:Resistant;bile:Resistant;cefaclor:Resistant;cefsulodin:Resistant;oxacillin:Sensitive;procaine:Sensitive;radicicol:Resistant;mops:Sensitive;growth:Resistant;novobiocin:Resistant;cefoxitin:Resistant;tobramycin:Sensitive;spiramycin:Sensitive;egta:Resistant;n-acetylglucosamine:Resistant;nalidixic acid:Resistant;triclosan:Sensitive;taurocholate:Resistant;paraquat:Sensitive;chir-090:Sensitive;cholate:Resistant;ciprofloxacin:Resistant;dibucaine:Resistant;spectinomycin:Resistant;norfloxacin:Resistant;ethanol:Resistant;actinomycin d:Sensitive;streptonigrin:Resistant;glucosamine:Resistant
B0081	6	growth:Resistant;doxycycline:Sensitive;kasugamycin:Sensitive;chloramphenicol:Sensitive;ethanol:Resistant;heat:Resistant;sulfamonomethoxine:Sensitive;benzoate:Resistant;taurocholate:Resistant
B0080	8	growth:Resistant;acetate:Sensitive;triclosan:Sensitive;amoxicillin:Sensitive;ethidium bromide:Sensitive;chloramphenicol:Sensitive;ethanol:Resistant;cecropin b:Sensitive;n-butanol:Resistant;benzoate:Resistant;alkaline:Sensitive
ECB_02345	3	heat:Resistant
B1379	7	growth:Resistant;novobiocin:Resistant;etda:Sensitive;decanoic acid:Sensitive;fucose:Sensitive;alanine utilization:Resistant;methylglyoxal:Sensitive;sds:Sensitive;l-valine:Sensitive
ECB_03348	9	heat:Resistant
ECB_03349	12	heat:Resistant
ECB_03344	38	heat:Resistant;freeze thaw cycles:Resistant
ECB_03345	10	heat:Resistant
ECB_03346	8	heat:Resistant
ECB_03347	10	heat:Resistant
ECB_03340	9	heat:Resistant
ECB_03341	7	heat:Resistant
ECB_03343	20	heat:Resistant;freeze thaw cycles:Resistant
B4146	7	isobutanol:Resistant;acid:Sensitive;benzalkonium chloride:Sensitive;novobiocin:Sensitive;heat:Resistant
B1427	5	growth:Resistant;sodium chloride:Sensitive;clarythromycin:Resistant;novobiocin:Sensitive;deoxycholate:Resistant;peroxide:Resistant;fucose:Sensitive;l-valine:Sensitive;ionizing radiation:Resistant;pyocyanin:Sensitive;sds:Sensitive;asparagine utilization:Resistant;benzalkonium chloride:Sensitive;ethidium bromide:Sensitive;procaine:Resistant
B1424	5	growth:Resistant;acriflavine:Sensitive;doxycycline:Resistant;fucose:Sensitive;phleomycin:Sensitive;methylglyoxal:Sensitive;amikacin:Sensitive;l-valine:Sensitive;azithromycin:Resistant;bicyclomycin:Sensitive;piperacillin:Resistant;mops:Sensitive
B1425	1	asparagine utilization:Resistant;glycine utilization:Resistant;aspartate utilization:Resistant;growth:Resistant
B4142	12	isobutanol:Resistant;furfural:Resistant;fucose:Sensitive;1-2-4-butanetriol:Resistant;ethanol:Resistant;2-butanol:Resistant;methylglyoxal:Sensitive;l-valine:Sensitive;heat:Resistant;n-butanol:Resistant
B4143	17	growth:Resistant;isobutanol:Resistant;furfural:Resistant;1-2-4-butanetriol:Resistant;ethanol:Resistant;2-butanol:Resistant;heat:Resistant;n-butanol:Resistant
